,vanilla msg model,,,"modified msg model(width=1.5,deepth=1,res=True)",,,"modified best accuracy(width=1,deepth=1,res=False)",,,"modified best accuracy(width=1,deepth=1,res=True)",,
epoch,train_instance_acc,test_instance_acc,class_acc,train_instance_acc,test_instance_acc,class_acc,train_instance_acc,test_instance_acc,class_acc,train_instance_acc,test_instance_acc,class_acc
1/50,0.732622,0.84284,0.80423,0.427033,0.698136,0.590775,0.640854,0.853728,0.7806,0.477134,0.72812,0.657166
2/50,0.824593,0.848908,0.817135,0.608537,0.756483,0.651999,0.743699,0.862642,0.791678,0.673069,0.823744,0.734646
3/50,0.837093,0.876011,0.828232,0.646443,0.813209,0.742205,0.75935,0.867909,0.809616,0.71128,0.850891,0.791802
4/50,0.847358,0.876214,0.828232,0.679167,0.822934,0.753712,0.764024,0.863857,0.81057,0.727947,0.838331,0.791802
5/50,0.851829,0.8839,0.831019,0.696138,0.850891,0.784502,0.840244,0.881068,0.829438,0.747967,0.849271,0.791802
6/50,0.852947,0.888754,0.847512,0.704675,0.862237,0.806708,0.843089,0.889563,0.837786,0.752033,0.871961,0.808955
7/50,0.854268,0.890574,0.847512,0.721646,0.841572,0.806708,0.849492,0.88754,0.837786,0.762398,0.8594,0.808955
8/50,0.857825,0.885113,0.847512,0.734756,0.851702,0.806708,0.856402,0.893608,0.837786,0.763313,0.861831,0.808955
9/50,0.859248,0.884506,0.847512,0.740346,0.861831,0.806708,0.858232,0.894013,0.850139,0.773882,0.886548,0.83228
10/50,0.857622,0.895833,0.849375,0.718394,0.826175,0.776688,0.864939,0.887136,0.850139,0.778963,0.850891,0.83228
11/50,0.861789,0.88127,0.849375,0.731199,0.852107,0.800011,0.856606,0.89199,0.853967,0.776728,0.877229,0.83228
12/50,0.869207,0.888956,0.854959,0.738415,0.85859,0.800011,0.859146,0.896845,0.853967,0.77622,0.877634,0.83228
13/50,0.869512,0.891383,0.857289,0.747663,0.860616,0.800011,0.86687,0.889563,0.853967,0.782317,0.88047,0.83228
14/50,0.864329,0.894822,0.857289,0.747358,0.86953,0.814493,0.864939,0.897249,0.855016,0.77937,0.873177,0.83228
15/50,0.869614,0.897856,0.857289,0.758435,0.8594,0.814493,0.86748,0.891586,0.855016,0.785467,0.871151,0.83228
16/50,0.872459,0.89907,0.860304,0.760366,0.861831,0.822968,0.872358,0.887136,0.855016,0.792683,0.880875,0.837669
17/50,0.870833,0.884304,0.850333,0.762805,0.873177,0.822968,0.866057,0.895631,0.8622,0.79126,0.877229,0.837669
18/50,0.875711,0.889765,0.850333,0.765346,0.861831,0.822968,0.866972,0.89644,0.8622,0.797561,0.877634,0.837669
19/50,0.873374,0.89644,0.860885,0.771646,0.861021,0.822968,0.870427,0.890372,0.8622,0.796138,0.878039,0.837669
20/50,0.873476,0.885113,0.860885,0.777033,0.871151,0.822968,0.865752,0.903722,0.8622,0.810671,0.896677,0.859849
21/50,0.883537,0.900283,0.860885,0.776524,0.885332,0.838593,0.872154,0.900081,0.864156,0.81565,0.891815,0.859849
22/50,0.874593,0.904935,0.876988,0.77378,0.884522,0.838593,0.868496,0.888754,0.864156,0.812805,0.893031,0.859849
23/50,0.879167,0.896845,0.876988,0.77561,0.866288,0.838593,,,,0.817581,0.895057,0.859849
24/50,0.879776,0.902306,0.876988,0.788923,0.863047,0.838593,,,,0.818801,0.89222,0.859849
25/50,0.877033,0.894822,0.876988,0.787093,0.886548,0.838593,,,,0.821443,0.890194,0.859849
26/50,0.880488,0.893608,0.876988,0.777744,0.886143,0.841878,,,,0.827642,0.895867,0.859849
27/50,0.882825,0.907969,0.876988,0.791463,0.878039,0.841878,,,,0.829065,0.897893,0.859849
28/50,0.879878,0.912419,0.881843,0.792988,0.885737,0.841878,,,,0.828049,0.886548,0.859849
29/50,0.878557,0.900688,0.881843,0.782825,0.878444,0.823139,,,,0.828252,0.890194,0.859849
30/50,0.882317,0.906958,0.881843,0.79187,0.873987,0.823139,,,,0.826931,0.898298,0.859849
31/50,0.882825,0.911206,0.881843,0.788923,0.87966,0.827152,,,,0.833028,0.904376,0.861952
32/50,0.885874,0.903519,0.881843,0.792581,0.889384,0.833599,,,,0.83313,0.895867,0.862214
33/50,0.881911,0.902913,0.881843,0.797561,0.883712,0.834289,,,,0.829675,0.899919,0.862214
34/50,0.884553,0.907969,0.881843,0.793801,0.886548,0.838833,,,,0.832419,0.890194,0.862214
35/50,0.888415,0.90089,0.881843,0.802744,0.871556,0.838833,,,,0.832012,0.896677,0.862635
36/50,0.898171,0.909183,0.881843,0.801728,0.888979,0.851644,,,,,,
37/50,0.901118,0.914037,0.883328,0.796545,0.883306,0.851644,,,,,,
38/50,0.900711,0.911206,0.883328,0.795427,0.875203,0.851644,,,,,,
39/50,0.902236,0.911812,0.883328,0.794817,0.885332,0.851644,,,,,,
40/50,0.90498,0.906351,0.883328,0.807215,0.886143,0.851644,,,,,,
41/50,0.905488,0.902306,0.883328,0.798171,0.884927,0.851644,,,,,,
42/50,0.897967,0.915453,0.883328,0.802846,0.887358,0.851644,,,,,,
43/50,0.901931,0.906756,0.883328,,,,,,,,,
44/50,0.900508,0.914239,0.883328,,,,,,,,,
45/50,0.903455,0.908576,0.883328,,,,,,,,,
46/50,0.907215,0.912621,0.883328,,,,,,,,,
47/50,0.90315,0.91343,0.883328,,,,,,,,,
48/50,0.907215,0.899474,0.883328,,,,,,,,,
49/50,0.909451,0.908172,0.883328,,,,,,,,,
50/50,0.906301,0.909992,0.883328,,,,,,,,,
test_acc,,0.885113,0.860885,,0.871151,0.822968,,0.903722,0.8622,,0.896677,0.859849
This is the test accuracy for the first 20 epochs,,,,,,,,,,,,
